sample	ave_depth
23N16233	7.57249
23N16235	17.0791
23N16237	10.319
23N16238	6.1126
23N16239	4.54192
23N16240	4.59923
23N16241	5.50231
23N16242	5.77793
23N16243	2.52382
23N16244	5.85486
24N02336	5.85668
24N02337	6.99466
24N02338	7.04216
24N02339	7.49445
24N02340	8.63299
24N02341	7.40867
24N02342	7.05851
24N02343	7.0299
24N02344	7.65342
24N02345	10.2442
24N02346	8.159
24N02347	9.61277
24N02348	6.33169
24N02349	4.47807
24N02350	2.69373
24N02351	1.64782
24N02352	3.04828
24N02353	6.28858
24N02354	4.94882
24N02355	1.97735
24N02356	1.83338
24N02357	1.6458
24N02358	4.02975
24N02359	4.20108
24N02360	4.6594
24N02362	6.73093
24N02363	2.58715
24N02364	2.09403
24N02365	3.68352
24N02366	4.05845
24N02367	2.70363
24N02368	4.0651
24N02369	3.09247
24N02370	1.46489
24N02371	3.92809
24N02397	3.49588
24N02398	4.29897
24N02399	2.94614
24N02400	2.44503
24N02401	10.0152
24N02402	3.85467
24N02403	7.38377
24N02404	4.64518
24N02406	2.51163
24N02407	2.51158
24N02408	8.28836
24N02440	4.3219
24N02441	8.30484
24N02442	6.27994
24N02443	5.95409
24N02444	6.02335
24N02445	8.38932
24N02446	5.33811
24N02447	4.83529
24N02448	4.33357
24N02449	5.46625
24N02450	5.68233
24N02451	4.56719
24N02480	6.99469
24N02481	5.80969
24N02482	5.75505
24N02483	5.83497
24N02484	6.51703
24N02485	6.20118
24N02486	5.88621
24N02487	6.77931
24N02488	8.50531
24N02497	5.14271
24N02498	1.55615
24N02499	5.61539
24N02500	2.85619
24N02501	0.23978
24N02502	3.08429
24N02503	4.9866
24N02504	4.37168
24N02505	5.03332
24N02506	6.75994
24N02507	5.81646
24N02508	2.85198
24N02517	7.25431
24N02518	4.57749
24N02519	5.12906
24N02520	7.04973
24N02521	7.15554
24N02522	4.81586
24N02523	2.26279
24N02524	3.93328
24N02525	6.06377
24N02526	6.15629
24N02527	5.95186
24N02528	3.6275
24N02531	1.51273
24N02532	1.26938
24N02533	1.17583
24N02534	1.87341
24N02535	2.55755
24N02536	4.50706
24N02537	2.54705
24N02538	3.10962
24N02539	7.60591
24N02540	3.35853
24N02541	3.96539
24N02542	3.40515
24N02615	1.29896
24N02616	2.38297
24N02617	2.62154
24N02618	2.68536
24N02620	1.66352
24N02621	1.40164
24N02622	3.70034
24N02623	3.02445
24N02624	2.96602
24N02625	1.35548
24N02682	2.95143
24N02683	7.47578
24N02684	2.76185
24N02685	5.44036
24N02686	5.52382
24N02687	2.95064
24N02688	2.66771
24N02689	3.83436
24N02690	3.04966
24N02691	3.12386
24N02692	2.32937
24N02693	3.22967
24N02794	3.30432
24N02795	4.02454
24N02796	3.60972
24N02797	3.13364
24N02799	3.31074
24N02800	3.2943
24N02801	3.45622
24N02802	3.01513
24N02803	1.44126
24N02804	2.42385
24N02815	3.12499
24N02816	3.41732
24N02817	2.83666
24N02818	6.42979
24N02819	3.48217
24N02820	2.2125
24N02821	5.86858
24N02822	4.56315
24N02823	4.43333
24N02824	3.13258
24N02825	2.90012
24N02826	2.59815
24N21269	8.56302
25N03037	5.75372
25N03038	7.22451
25N03039	4.54089
25N03040	6.12661
25N03041	5.77777
25N03042	5.18539
25N03043	3.83595
25N03044	7.34541
25N03045	7.87069
25N03046	8.00993
25N03047	7.95055
25N03048	8.24401
25N03067	5.47536
25N03068	8.91387
25N03069	6.77531
25N03070	7.3461
25N03071	8.76249
25N03072	8.21788
25N03073	9.33478
25N03074	4.99456
25N03075	7.52846
25N03076	8.34303
25N03077	7.74811
25N03078	6.95285
25N03097	7.14038
25N03098	4.935
25N03099	6.28224
25N03100	6.76983
25N03101	7.29561
25N03102	7.98174
25N03103	7.64646
25N03104	4.29984
25N03105	4.01578
25N03106	6.81429
25N03107	6.56477
25N03108	8.07177
25N13574	7.91118
25N13576	8.97347
25N13577	8.3012
25N13578	6.90241
25N13579	7.67459
25N13580	7.48053
25N13581	8.96272
25N13582	6.83962
25N13583	6.40674
25N13584	7.63122
25N13585	7.07573
25N13586	7.98619
25N13631	10.2804
25N13632	6.87517
25N13633	7.00375
25N13634	7.91007
25N13635	9.32537
25N17421	6.8434
25N17422	6.57225
25N17423	7.0252
25N17424	6.59217
25N17425	7.05867
25N17426	7.0862
25N17427	7.90418
25N17428	8.90385
25N17429	8.72673
25N17430	8.62329
25N17431	6.16556
25N17432	7.93763
25N19612	6.98331
25N19613	8.50033
25N19614	4.54369
25N19615	6.8499
25N19616	6.89526
25N19617	10.2502
