sample	unit	library	flowcell	platform	lane	sample_id	barcode	fq1	fq2	kb1	kb2
23N16233	1	Plate1	225C2WLT4	ILLUMINA	3	23N16233	23N16233-Plate1	BAM_files/overlap_clipped/23N16233_R1.fastq.gz	BAM_files/overlap_clipped/23N16233_R2.fastq.gz	3867389.397	3840557.98
23N16235	1	Plate1	225C2WLT4	ILLUMINA	3	23N16235	23N16235-Plate1	BAM_files/overlap_clipped/23N16235_R1.fastq.gz	BAM_files/overlap_clipped/23N16235_R2.fastq.gz	11381707.33	11377265.4
23N16237	1	Plate2	225CWMLT4	ILLUMINA	1	23N16237	23N16237-Plate2	01.RawData/B_23N16237/B_23N16237_CKDL240009631-1A_225CWMLT4_L1_1.fq.gz	01.RawData/B_23N16237/B_23N16237_CKDL240009631-1A_225CWMLT4_L1_2.fq.gz	5894549.772	5924789.743
23N16238	1	Plate1	225C2WLT4	ILLUMINA	3	23N16238	23N16238-Plate1	BAM_files/overlap_clipped/23N16238_R1.fastq.gz	BAM_files/overlap_clipped/23N16238_R2.fastq.gz	3664726.367	3653645.518
23N16239	1	Plate1	225C2WLT4	ILLUMINA	3	23N16239	23N16239-Plate1	BAM_files/overlap_clipped/23N16239_R1.fastq.gz	BAM_files/overlap_clipped/23N16239_R2.fastq.gz	2950798.233	2949748.93
23N16240	1	Plate2	225CWMLT4	ILLUMINA	1	23N16240	23N16240-Plate2	01.RawData/B_23N16240/B_23N16240_CKDL240009631-1A_225CWMLT4_L1_1.fq.gz	01.RawData/B_23N16240/B_23N16240_CKDL240009631-1A_225CWMLT4_L1_2.fq.gz	2404208.735	2326573.505
23N16241	1	Plate2	225CWMLT4	ILLUMINA	1	23N16241	23N16241-Plate2	01.RawData/B_23N16241/B_23N16241_CKDL240009631-1A_225CWMLT4_L1_1.fq.gz	01.RawData/B_23N16241/B_23N16241_CKDL240009631-1A_225CWMLT4_L1_2.fq.gz	3465393.47	3408121.821
23N16242	1	Plate1	225C2WLT4	ILLUMINA	3	23N16242	23N16242-Plate1	BAM_files/overlap_clipped/23N16242_R1.fastq.gz	BAM_files/overlap_clipped/23N16242_R2.fastq.gz	3614552.51	3565452.664
23N16243	1	Plate2	225CWMLT4	ILLUMINA	1	23N16243	23N16243-Plate2	01.RawData/B_23N16243/B_23N16243_CKDL240009631-1A_225CWMLT4_L1_1.fq.gz	01.RawData/B_23N16243/B_23N16243_CKDL240009631-1A_225CWMLT4_L1_2.fq.gz	1390533.702	1386109.302
23N16244	1	Plate2	225CWMLT4	ILLUMINA	1	23N16244	23N16244-Plate2	01.RawData/B_23N16244/B_23N16244_CKDL240009631-1A_225CWMLT4_L1_1.fq.gz	01.RawData/B_23N16244/B_23N16244_CKDL240009631-1A_225CWMLT4_L1_2.fq.gz	3873767.761	3878341.306
24N02336	1	Plate2	225CWMLT4	ILLUMINA	1	24N02336	24N02336-Plate2	01.RawData/B_24N02336/B_24N02336_CKDL240009631-1A_225CWMLT4_L1_1.fq.gz	01.RawData/B_24N02336/B_24N02336_CKDL240009631-1A_225CWMLT4_L1_2.fq.gz	2762086.043	2763022.983
24N02337	1	Plate2	225CWMLT4	ILLUMINA	1	24N02337	24N02337-Plate2	01.RawData/B_24N02337/B_24N02337_CKDL240009631-1A_225CWMLT4_L1_1.fq.gz	01.RawData/B_24N02337/B_24N02337_CKDL240009631-1A_225CWMLT4_L1_2.fq.gz	3380776.727	3335281.076
24N02338	1	Plate2	225CWMLT4	ILLUMINA	1	24N02338	24N02338-Plate2	01.RawData/B_24N02338/B_24N02338_CKDL240009631-1A_225CWMLT4_L1_1.fq.gz	01.RawData/B_24N02338/B_24N02338_CKDL240009631-1A_225CWMLT4_L1_2.fq.gz	3507339.655	3536978.809
24N02339	1	Plate2	225CWMLT4	ILLUMINA	1	24N02339	24N02339-Plate2	01.RawData/B_24N02339/B_24N02339_CKDL240009631-1A_225CWMLT4_L1_1.fq.gz	01.RawData/B_24N02339/B_24N02339_CKDL240009631-1A_225CWMLT4_L1_2.fq.gz	3594144.703	3591497.552
24N02340	1	Plate2	225CWMLT4	ILLUMINA	1	24N02340	24N02340-Plate2	01.RawData/B_24N02340/B_24N02340_CKDL240009631-1A_225CWMLT4_L1_1.fq.gz	01.RawData/B_24N02340/B_24N02340_CKDL240009631-1A_225CWMLT4_L1_2.fq.gz	4230260.466	4238312.797
24N02341	1	Plate2	225CWMLT4	ILLUMINA	1	24N02341	24N02341-Plate2	01.RawData/B_24N02341/B_24N02341_CKDL240009631-1A_225CWMLT4_L1_1.fq.gz	01.RawData/B_24N02341/B_24N02341_CKDL240009631-1A_225CWMLT4_L1_2.fq.gz	3868599.862	3871830.6
24N02342	1	Plate2	225CWMLT4	ILLUMINA	1	24N02342	24N02342-Plate2	01.RawData/B_24N02342/B_24N02342_CKDL240009631-1A_225CWMLT4_L1_1.fq.gz	01.RawData/B_24N02342/B_24N02342_CKDL240009631-1A_225CWMLT4_L1_2.fq.gz	3904478.492	3950689.165
24N02343	1	Plate2	225CWMLT4	ILLUMINA	1	24N02343	24N02343-Plate2	01.RawData/B_24N02343/B_24N02343_CKDL240009631-1A_225CWMLT4_L1_1.fq.gz	01.RawData/B_24N02343/B_24N02343_CKDL240009631-1A_225CWMLT4_L1_2.fq.gz	3398426.705	3336411.657
