"Group","cen_lon","cen_lat","n","cluster_letter"
"Cluster_1",-147.64292,64.827787,12,"A"
"Cluster_5",-134.850618,60.63708,12,"B"
"Cluster_4",-120.05934,56.1223707,12,"C"
"Cluster_2",-119.664211666667,46.9330021666667,12,"D"
"Cluster_12",-116.04845,50.5472,12,"E"
"Cluster_16",-115.978634,62.852877,12,"F"
"Cluster_20",-113.643808,46.724742,12,"G"
"Cluster_9",-113.57037,53.687047,12,"H"
"Cluster_18",-106.7417194,44.4478984,12,"I"
"Cluster_3",-106.54129,51.596313,12,"J"
"Cluster_19",-104.7318117,41.1170592,5,"K"
"Cluster_8",-101.35284,50.365898,9,"L"
"Cluster_21",-98.6349930571429,46.8748138,7,"M"
"Cluster_17",-97.127082,50.164998,12,"N"
"Cluster_6",-77.330701,43.3219022,15,"O"
"Cluster_14",-72.818831,46.067638,12,"P"
"Cluster_11",-66.15649,44.19388,9,"Q"
"Cluster_10",-64.3200783333333,45.7441118666667,15,"R"
"Cluster_13",-64.3158,48.8249,12,"S"
"Cluster_7",-62.751505,45.962235,9,"T"
"Cluster_15",-57.722693,50.025854,12,"U"
