BGP_ID,Group,Lat,Long
23N16233,Cluster_1,64.827787,-147.64292
23N16234,Cluster_1,64.827787,-147.64292
23N16235,Cluster_1,64.827787,-147.64292
23N16236,Cluster_1,64.827787,-147.64292
23N16237,Cluster_1,64.827787,-147.64292
23N16238,Cluster_1,64.827787,-147.64292
23N16239,Cluster_1,64.827787,-147.64292
23N16240,Cluster_1,64.827787,-147.64292
23N16241,Cluster_1,64.827787,-147.64292
23N16242,Cluster_1,64.827787,-147.64292
23N16243,Cluster_1,64.827787,-147.64292
23N16244,Cluster_1,64.827787,-147.64292
24N02336,Cluster_2,47.080073,-119.86242
24N02337,Cluster_2,46.903588,-119.62457
24N02338,Cluster_2,46.903588,-119.62457
24N02339,Cluster_2,46.903588,-119.62457
24N02340,Cluster_2,47.080073,-119.86242
24N02341,Cluster_2,46.903588,-119.62457
24N02342,Cluster_2,46.903588,-119.62457
24N02343,Cluster_2,46.903588,-119.62457
24N02344,Cluster_2,46.903588,-119.62457
24N02345,Cluster_2,46.903588,-119.62457
24N02346,Cluster_2,46.903588,-119.62457
24N02347,Cluster_2,46.903588,-119.62457
24N02348,Cluster_3,51.596313,-106.54129
24N02349,Cluster_3,51.596313,-106.54129
24N02350,Cluster_3,51.596313,-106.54129
24N02351,Cluster_3,51.596313,-106.54129
24N02352,Cluster_3,51.596313,-106.54129
24N02353,Cluster_3,51.596313,-106.54129
24N02354,Cluster_3,51.596313,-106.54129
24N02355,Cluster_3,51.596313,-106.54129
24N02356,Cluster_3,51.596313,-106.54129
24N02357,Cluster_3,51.596313,-106.54129
24N02358,Cluster_3,51.596313,-106.54129
24N02359,Cluster_3,51.596313,-106.54129
24N02360,Cluster_4,56.1223707,-120.05934
24N02361,Cluster_4,56.1223707,-120.05934
24N02362,Cluster_4,56.1223707,-120.05934
24N02363,Cluster_4,56.1223707,-120.05934
24N02364,Cluster_4,56.1223707,-120.05934
24N02365,Cluster_4,56.1223707,-120.05934
24N02366,Cluster_4,56.1223707,-120.05934
24N02367,Cluster_4,56.1223707,-120.05934
24N02368,Cluster_4,56.1223707,-120.05934
24N02369,Cluster_4,56.1223707,-120.05934
24N02370,Cluster_4,56.1223707,-120.05934
