"Predictor","Model","Comparison","Delta_EDF","Delta_Dev","p_value","R2_adj","Dev_expl"
"ppt","Null","Null (no ESU)",NA,NA,NA,0.455293866974225,0.463364146357491
"ppt","modG","modG vs Null",0.7081970444533,437242.924232436,"<0.001",0.643914619469162,0.649003503751557
"ppt","modGS","modGS_ppt vs modG",4.4790712841027,20009.493783637,"<0.001",0.652244678771013,0.657498894670223
"ppt","modS","modS_ppt vs modGS",-10.6401331920711,-12529.8237957262,"<0.001",0.6476397393346,0.652179132339517
"soil","Null","Null (no ESU)",NA,NA,NA,0.455293866974225,0.463364146357491
"soil","modG","modG vs Null",0.7081970444533,437242.924232436,"<0.001",0.643914619469162,0.649003503751557
"soil","modGS","modGS_soil vs modG",4.06497621291373,31400.5293409054,"<0.001",0.657112483767371,0.662335163946887
"soil","modS","modS_soil vs modGS",-12.2737956321566,-40515.5988828191,"<0.001",0.640608890737259,0.645133536832519
"tmax","Null","Null (no ESU)",NA,NA,NA,0.455293866974225,0.463364146357491
"tmax","modG","modG vs Null",0.7081970444533,437242.924232436,"<0.001",0.643914619469162,0.649003503751557
"tmax","modGS","modGS_tmax vs modG",-4.25774462106028,66457.1452485392,NA,0.672792973096049,0.677219081533268
"tmax","modS","modS_tmax vs modGS",-12.5573155113379,-48658.0748579702,"<0.001",0.652804400926639,0.656560419613186
"tmin","Null","Null (no ESU)",NA,NA,NA,0.455293866974225,0.463364146357491
"tmin","modG","modG vs Null",0.7081970444533,437242.924232436,"<0.001",0.643914619469162,0.649003503751557
"tmin","modGS","modGS_tmin vs modG",-2.67327292704294,90461.1585963621,NA,0.682988975737189,0.687410417666588
"tmin","modS","modS_tmin vs modGS",-12.1686816149413,-56301.173079881,"<0.001",0.659755356991414,0.663506740758771
"ws","Null","Null (no ESU)",NA,NA,NA,0.455293866974225,0.463364146357491
"ws","modG","modG vs Null",0.7081970444533,437242.924232436,"<0.001",0.643914619469162,0.649003503751557
"ws","modGS","modGS_ws vs modG",4.84576854456191,32221.4857050425,"<0.001",0.657733700382132,0.66268371575514
"ws","modS","modS_ws vs modGS",-13.8495050524125,-22302.5241136194,"<0.001",0.648977885534667,0.653214777516777
