"Predictor","Model","Comparison","Delta_EDF","Delta_Dev","p_value","R2_adj","Dev_expl"
"ppt","Null","Null (no ESU)",NA,NA,NA,0.418877518653117,0.425404431378807
"ppt","modG","modG vs Null",5.26441038827033,223806.217192295,"<0.001",0.507885799427521,0.513941238572248
"ppt","modGS","modGS_ppt vs modG",5.02312800997242,6321.2648431256,"<0.001",0.510119894513661,0.516441904611179
"ppt","modS","modS_ppt vs modGS",-14.2820844723128,-61278.8910777736,"<0.001",0.486712631372186,0.492200230575292
"soil","Null","Null (no ESU)",NA,NA,NA,0.418877518653117,0.425404431378807
"soil","modG","modG vs Null",5.26441038827033,223806.217192295,"<0.001",0.507885799427521,0.513941238572248
"soil","modGS","modGS_soil vs modG",4.83191228940359,16858.5089425617,"<0.001",0.514315046746615,0.520610394481058
"soil","modS","modS_soil vs modGS",-13.8012038061961,-102580.372294806,"<0.001",0.474573202774351,0.480030026528664
"tmax","Null","Null (no ESU)",NA,NA,NA,0.418877518653117,0.425404431378807
"tmax","modG","modG vs Null",5.26441038827033,223806.217192295,"<0.001",0.507885799427521,0.513941238572248
"tmax","modGS","modGS_tmax vs modG",5.88785533557257,69739.8968571643,"<0.001",0.535450076634861,0.54153005124776
"tmax","modS","modS_tmax vs modGS",-13.4048162880426,-128381.835129435,"<0.001",0.485247392671942,0.490742732081247
"tmin","Null","Null (no ESU)",NA,NA,NA,0.418877518653117,0.425404431378807
"tmin","modG","modG vs Null",5.26441038827033,223806.217192295,"<0.001",0.507885799427521,0.513941238572248
"tmin","modGS","modGS_tmin vs modG",6.3688596220718,12223.2035927735,"<0.001",0.512376866846521,0.518776686994352
"tmin","modS","modS_tmin vs modGS",-12.5934683609703,-51682.9239903651,"<0.001",0.492729775428866,0.49833113756354
"ws","Null","Null (no ESU)",NA,NA,NA,0.418877518653117,0.425404431378807
"ws","modG","modG vs Null",5.26441038827033,223806.217192295,"<0.001",0.507885799427521,0.513941238572248
"ws","modGS","modGS_ws vs modG",5.176626440576,6185.81476583658,"<0.001",0.510033168761037,0.516388321124859
"ws","modS","modS_ws vs modGS",-13.0004154568715,-24335.5418188239,"<0.001",0.501261688855,0.506761282157886
