"Predictor","Model","Comparison","Delta_EDF","Delta_Dev","p_value","R2_adj","Dev_expl"
"ppt","Null","Null (no ESU)",NA,NA,NA,0.437317932435955,0.443276748201602
"ppt","modG","modG vs Null",2.65920662192184,485441.568430885,"<0.001",0.612698334267973,0.616796784280508
"ppt","modGS","modGS_ppt vs modG",6.01021245888296,19412.0920077488,"<0.001",0.619308383101046,0.623735594478488
"ppt","modS","modS_ppt vs modGS",-10.8319083659444,-12200.8108354423,"<0.001",0.615444541520052,0.619374441099718
"soil","Null","Null (no ESU)",NA,NA,NA,0.437317932435955,0.443276748201602
"soil","modG","modG vs Null",2.65920662192184,485441.568430885,"<0.001",0.612698334267973,0.616796784280508
"soil","modGS","modGS_soil vs modG",4.39557799702561,34322.2838410111,"<0.001",0.624796687359719,0.629065210220325
"soil","modS","modS_soil vs modGS",-12.4131216367259,-44607.8826602898,"<0.001",0.609492205387513,0.613120219284265
"tmax","Null","Null (no ESU)",NA,NA,NA,0.437317932435955,0.443276748201602
"tmax","modG","modG vs Null",2.65920662192184,485441.568430885,"<0.001",0.612698334267973,0.616796784280508
"tmax","modGS","modGS_tmax vs modG",5.28543393504333,62895.3880389131,"<0.001",0.635097334445105,0.639278604362348
"tmax","modS","modS_tmax vs modGS",-13.0575697480936,-37786.1487945735,"<0.001",0.622144836314527,0.625772027405391
"tmin","Null","Null (no ESU)",NA,NA,NA,0.437317932435955,0.443276748201602
"tmin","modG","modG vs Null",2.65920662192184,485441.568430885,"<0.001",0.612698334267973,0.616796784280508
"tmin","modGS","modGS_tmin vs modG",2.96382965583689,116592.869915068,"<0.001",0.65456437728619,0.658472652829632
"tmin","modS","modS_tmin vs modGS",-10.2030519392256,-46732.3613599071,"<0.001",0.638311945733918,0.641768271588786
"ws","Null","Null (no ESU)",NA,NA,NA,0.437317932435955,0.443276748201602
"ws","modG","modG vs Null",2.65920662192184,485441.568430885,"<0.001",0.612698334267973,0.616796784280508
"ws","modGS","modGS_ws vs modG",4.46871101199849,12671.9054476903,"<0.001",0.617021110044969,0.621326329406978
"ws","modS","modS_ws vs modGS",-10.4670469535522,-15121.6476986276,"<0.001",0.612139580093067,0.615921129224555
