Predictor,Model,Comparison,Delta_EDF,Delta_Dev,p_value,R2_adj,Dev_expl
ppt,Null,Null (no ESU),NA,NA,NA,0.444065131,0.450159102
ppt,modG,modG vs Null,5.422700632,533199.4976,<0.001,0.640697869,0.644887209
ppt,modGS,modGS_ppt vs modG,4.881199313,13529.20421,<0.001,0.645497882,0.649828167
ppt,modS,modS_ppt vs modGS,-8.705168903,-14316.06217,<0.001,0.640659134,0.644599843
soil,Null,Null (no ESU),NA,NA,NA,0.444065131,0.450159102
soil,modG,modG vs Null,5.422700632,533199.4976,<0.001,0.640697869,0.644887209
soil,modGS,modGS_soil vs modG,6.040445655,42664.73996,<0.001,0.656168084,0.660468664
soil,modS,modS_soil vs modGS,-12.62447271,-49418.33747,<0.001,0.638679521,0.642420749
tmax,Null,Null (no ESU),NA,NA,NA,0.444065131,0.450159102
tmax,modG,modG vs Null,5.422700632,533199.4976,<0.001,0.640697869,0.644887209
tmax,modGS,modGS_tmax vs modG,7.762578164,40565.9194,<0.001,0.655264789,0.659702161
tmax,modS,modS_tmax vs modGS,-15.97889618,-52102.70419,<0.001,0.636920285,0.640673896
tmin,Null,Null (no ESU),NA,NA,NA,0.444065131,0.450159102
tmin,modG,modG vs Null,5.422700632,533199.4976,<0.001,0.640697869,0.644887209
tmin,modGS,modGS_tmin vs modG,5.466406117,66895.74098,<0.001,0.665149947,0.669317992
tmin,modS,modS_tmin vs modGS,-11.01857277,-46830.28325,<0.001,0.648485562,0.652215252
ws,Null,Null (no ESU),NA,NA,NA,0.444065131,0.450159102
ws,modG,modG vs Null,5.422700632,533199.4976,<0.001,0.640697869,0.644887209
ws,modGS,modGS_ws vs modG,6.712654516,6967.405226,<0.001,0.642951978,0.647431753
ws,modS,modS_ws vs modGS,-12.46929026,-21837.47735,<0.001,0.635593342,0.639456557
