file,scheme,model_type,variable,AIC,delta,best
../outputs/GAM_outputs/function_out/G5/gam_null2.rds,G5,gam,null2,45029.74754628314,0,TRUE
../outputs/GAM_outputs/function_out/G4/gam_null2.rds,G4,gam,null2,45892.66010841636,862.9125621332205,FALSE
../outputs/GAM_outputs/function_out/GM6/gam_null2.rds,GM6,gam,null2,46505.98152594463,1476.2339796614906,FALSE
../outputs/GAM_outputs/function_out/GM5/gam_null2.rds,GM5,gam,null2,46718.03743356624,1688.2898872830992,FALSE
../outputs/GAM_outputs/function_out/GM6/modG.rds,GM6,modG,NA,44116.60180924337,0,TRUE
../outputs/GAM_outputs/function_out/G5/modG.rds,G5,modG,NA,44151.686275799984,35.084466556611005,FALSE
../outputs/GAM_outputs/function_out/GM5/modG.rds,GM5,modG,NA,44670.14574287148,553.5439336281052,FALSE
../outputs/GAM_outputs/function_out/G4/modG.rds,G4,modG,NA,45621.409497867324,1504.8076886239505,FALSE
../outputs/GAM_outputs/function_out/GM6/modGS_ppt.rds,GM6,modGS,ppt,44048.51295527583,0,TRUE
../outputs/GAM_outputs/function_out/G5/modGS_ppt.rds,G5,modGS,ppt,44132.46733599621,83.95438072038087,FALSE
../outputs/GAM_outputs/function_out/GM5/modGS_ppt.rds,GM5,modGS,ppt,44580.81683090099,532.3038756251626,FALSE
../outputs/GAM_outputs/function_out/G4/modGS_ppt.rds,G4,modGS,ppt,45551.05036689001,1502.537411614183,FALSE
../outputs/GAM_outputs/function_out/GM6/modGS_soil.rds,GM6,modGS,soil,43881.25398487547,0,TRUE
../outputs/GAM_outputs/function_out/G5/modGS_soil.rds,G5,modGS,soil,44086.68621481887,205.43222994339885,FALSE
../outputs/GAM_outputs/function_out/GM5/modGS_soil.rds,GM5,modGS,soil,44499.88221717232,618.6282322968545,FALSE
../outputs/GAM_outputs/function_out/G4/modGS_soil.rds,G4,modGS,soil,45580.15839610474,1698.9044112292759,FALSE
../outputs/GAM_outputs/function_out/G5/modGS_tmax.rds,G5,modGS,tmax,43851.18318801411,0,TRUE
../outputs/GAM_outputs/function_out/GM6/modGS_tmax.rds,GM6,modGS,tmax,43896.981871202835,45.79868318872468,FALSE
../outputs/GAM_outputs/function_out/GM5/modGS_tmax.rds,GM5,modGS,tmax,44347.8344403843,496.65125237018947,FALSE
../outputs/GAM_outputs/function_out/G4/modGS_tmax.rds,G4,modGS,tmax,44956.41542388717,1105.2322358730598,FALSE
../outputs/GAM_outputs/function_out/GM6/modGS_tmin.rds,GM6,modGS,tmin,43735.04991637214,0,TRUE
../outputs/GAM_outputs/function_out/GM5/modGS_tmin.rds,GM5,modGS,tmin,44043.76895867808,308.71904230594373,FALSE
../outputs/GAM_outputs/function_out/G5/modGS_tmin.rds,G5,modGS,tmin,44110.17211498044,375.12219860830373,FALSE
../outputs/GAM_outputs/function_out/G4/modGS_tmin.rds,G4,modGS,tmin,45418.65936724035,1683.6094508682072,FALSE
../outputs/GAM_outputs/function_out/GM6/modGS_ws.rds,GM6,modGS,ws,44089.062347858846,0,TRUE
../outputs/GAM_outputs/function_out/G5/modGS_ws.rds,G5,modGS,ws,44133.686245354496,44.62389749565045,FALSE
../outputs/GAM_outputs/function_out/GM5/modGS_ws.rds,GM5,modGS,ws,44612.506512684224,523.4441648253778,FALSE
../outputs/GAM_outputs/function_out/G4/modGS_ws.rds,G4,modGS,ws,45480.24602539921,1391.1836775403644,FALSE
../outputs/GAM_outputs/function_out/GM6/modS_ppt.rds,GM6,modS,ppt,44114.85518054612,0,TRUE
../outputs/GAM_outputs/function_out/G5/modS_ppt.rds,G5,modS,ppt,44367.037898305345,252.18271775922767,FALSE
../outputs/GAM_outputs/function_out/GM5/modS_ppt.rds,GM5,modS,ppt,44626.10646639511,511.2512858489936,FALSE
../outputs/GAM_outputs/function_out/G4/modS_ppt.rds,G4,modS,ppt,45744.04360969231,1629.1884291461902,FALSE
../outputs/GAM_outputs/function_out/GM6/modS_soil.rds,GM6,modS,soil,44141.44180247321,0,TRUE
../outputs/GAM_outputs/function_out/G5/modS_soil.rds,G5,modS,soil,44491.94462218391,350.50281971070217,FALSE
../outputs/GAM_outputs/function_out/GM5/modS_soil.rds,GM5,modS,soil,44707.472306944495,566.0305044712877,FALSE
../outputs/GAM_outputs/function_out/G4/modS_soil.rds,G4,modS,soil,45990.521790223145,1849.0799877499376,FALSE
../outputs/GAM_outputs/function_out/GM6/modS_tmax.rds,GM6,modS,tmax,44165.32944043531,0,TRUE
