BGP_ID,Band,Lib Plate Name,Plate Well Position,Final Lib Name,Contact,CollectionDate,Country_code,State,CityTown,Lat,Long,Stage,,,
23N16233,266040527,BANS WGLC Plate A,A1,BANS 002 WGLC,Julie Hagelin,6/26/23,USA,AK,Fairbanks,64.827787,-147.64292,Breeding,,,
23N16234,266040528,BANS WGLC Plate A,A2,NOT INCLUDED,Julie Hagelin,6/26/23,USA,AK,Fairbanks,64.827787,-147.64292,Breeding,,,
23N16235,266040529,BANS WGLC Plate A,A3,BANS 002 WGLC,Julie Hagelin,6/26/23,USA,AK,Fairbanks,64.827787,-147.64292,Breeding,,,
23N16236,266040530,BANS WGLC Plate A,A4,NOT INCLUDED,Julie Hagelin,6/26/23,USA,AK,Fairbanks,64.827787,-147.64292,Breeding,,,
23N16237,266040531,BANS WGLC Plate A,A5,BANS 001 WGLC,Julie Hagelin,6/26/23,USA,AK,Fairbanks,64.827787,-147.64292,Breeding,,,
23N16238,266040532,BANS WGLC Plate A,A6,BANS 002 WGLC,Julie Hagelin,6/26/23,USA,AK,Fairbanks,64.827787,-147.64292,Breeding,,,
23N16239,266040533,BANS WGLC Plate A,A7,BANS 002 WGLC,Julie Hagelin,6/26/23,USA,AK,Fairbanks,64.827787,-147.64292,Breeding,,,
23N16240,266040534,BANS WGLC Plate A,A8,BANS 001 WGLC,Julie Hagelin,6/26/23,USA,AK,Fairbanks,64.827787,-147.64292,Breeding,,,
23N16241,266040535,BANS WGLC Plate A,A9,BANS 001 WGLC,Julie Hagelin,6/26/23,USA,AK,Fairbanks,64.827787,-147.64292,Breeding,,,
23N16242,266040536,BANS WGLC Plate A,A10,BANS 002 WGLC,Julie Hagelin,6/26/23,USA,AK,Fairbanks,64.827787,-147.64292,Breeding,,,
23N16243,266040537,BANS WGLC Plate A,A11,BANS 001 WGLC,Julie Hagelin,6/26/23,USA,AK,Fairbanks,64.827787,-147.64292,Breeding,,,
23N16244,266040538,BANS WGLC Plate A,A12,BANS 001 WGLC,Julie Hagelin,6/26/23,USA,AK,Fairbanks,64.827787,-147.64292,Breeding,,,
24N02336,UWBM:88672,BANS WGLC Plate A,B1,BANS 001 WGLC,Sharon Birks,7/3/08,USA,WA,"George, Grant Co.",47.080073,-119.86242,Breeding,,,
24N02337,UWBM:81492,BANS WGLC Plate A,B2,BANS 001 WGLC,Sharon Birks,5/27/06,USA,WA,"Royal City, Grant Co",46.903588,-119.62457,Breeding,,,
24N02338,UWBM:81493,BANS WGLC Plate A,B3,BANS 001 WGLC,Sharon Birks,5/27/06,USA,WA,"Royal City, Grant Co",46.903588,-119.62457,Breeding,,,
24N02339,UWBM:81494,BANS WGLC Plate A,B4,BANS 001 WGLC,Sharon Birks,5/27/06,USA,WA,"Royal City, Grant Co",46.903588,-119.62457,Breeding,,,
24N02340,UWBM:91269,BANS WGLC Plate A,B5,BANS 001 WGLC,Sharon Birks,7/10/09,USA,WA,"George, Grant Co.",47.080073,-119.86242,Breeding,,,
24N02341,UWBM:81495,BANS WGLC Plate A,B6,BANS 001 WGLC,Sharon Birks,5/27/06,USA,WA,"Royal City, Grant Co",46.903588,-119.62457,Breeding,,,
24N02342,UWBM:81496,BANS WGLC Plate A,B7,BANS 001 WGLC,Sharon Birks,5/27/06,USA,WA,"Royal City, Grant Co",46.903588,-119.62457,Breeding,,,
24N02343,UWBM:81497,BANS WGLC Plate A,B8,BANS 001 WGLC,Sharon Birks,5/27/06,USA,WA,"Royal City, Grant Co",46.903588,-119.62457,Breeding,,,
24N02344,UWBM:81498,BANS WGLC Plate A,B9,BANS 001 WGLC,Sharon Birks,5/27/06,USA,WA,"Royal City, Grant Co",46.903588,-119.62457,Breeding,,,
24N02345,UWBM:81499,BANS WGLC Plate A,B10,BANS 001 WGLC,Sharon Birks,5/27/06,USA,WA,"Royal City, Grant Co",46.903588,-119.62457,Breeding,,,
24N02346,UWBM:81500,BANS WGLC Plate A,B11,BANS 001 WGLC,Sharon Birks,5/27/06,USA,WA,"Royal City, Grant Co",46.903588,-119.62457,Breeding,,,
24N02347,UWBM:81501,BANS WGLC Plate A,B12,BANS 001 WGLC,Sharon Birks,5/27/06,USA,WA,"Royal City, Grant Co",46.903588,-119.62457,Breeding,,,
24N02348,274098909,BANS WGLC Plate A,C1,BANS 002 WGLC,Keith Hobson,7/5/17,Canada,SK,"Brightwater Reservoir, SK",51.596313,-106.54129,Breeding,,,
24N02349,274098910,BANS WGLC Plate A,C2,BANS 002 WGLC,Keith Hobson,7/5/17,Canada,SK,"Brightwater Reservoir, SK",51.596313,-106.54129,Breeding,,,
24N02350,274098931,BANS WGLC Plate A,C3,BANS 002 WGLC,Keith Hobson,7/7/17,Canada,SK,"Brightwater Reservoir, SK",51.596313,-106.54129,Breeding,,,
24N02351,274098967,BANS WGLC Plate A,C4,BANS 001 WGLC,Keith Hobson,7/13/17,Canada,SK,"Brightwater Reservoir, SK",51.596313,-106.54129,Breeding,,,
24N02352,274098959,BANS WGLC Plate A,C5,BANS 002 WGLC,Keith Hobson,7/13/17,Canada,SK,"Brightwater Reservoir, SK",51.596313,-106.54129,Breeding,,,
24N02353,274099083,BANS WGLC Plate A,C6,BANS 002 WGLC,Keith Hobson,6/16/17,Canada,SK,"Brightwater Reservoir, SK",51.596313,-106.54129,Breeding,,,
24N02354,274098906,BANS WGLC Plate A,C7,BANS 002 WGLC,Keith Hobson,7/5/17,Canada,SK,"Brightwater Reservoir, SK",51.596313,-106.54129,Breeding,,,
24N02355,274098904,BANS WGLC Plate A,C8,BANS 001 WGLC,Keith Hobson,7/5/17,Canada,SK,"Brightwater Reservoir, SK",51.596313,-106.54129,Breeding,,,
24N02356,274098907,BANS WGLC Plate A,C9,BANS 001 WGLC,Keith Hobson,7/5/17,Canada,SK,"Brightwater Reservoir, SK",51.596313,-106.54129,Breeding,,,
24N02357,274098965,BANS WGLC Plate A,C10,BANS 001 WGLC,Keith Hobson,7/13/17,Canada,SK,"Brightwater Reservoir, SK",51.596313,-106.54129,Breeding,,,
24N02358,274099068,BANS WGLC Plate A,C11,BANS 001 WGLC,Keith Hobson,6/16/17,Canada,SK,"Brightwater Reservoir, SK",51.596313,-106.54129,Breeding,,,
24N02359,274098905,BANS WGLC Plate A,C12,BANS 001 WGLC,Keith Hobson,7/5/17,Canada,SK,"Brightwater Reservoir, SK",51.596313,-106.54129,Breeding,,,
24N02360,235068343,BANS WGLC Plate A,D1,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/6/21,Canada,British Columbia,Peace River,56.1223707,-120.05934,Breeding,,,
24N02361,235068345,BANS WGLC Plate A,D2,NOT INCLUDED,"Gregory Mitchell, Ana Diazbohorquez",7/6/21,Canada,British Columbia,Peace River,56.1223707,-120.05934,Breeding,,,
24N02362,235068346,BANS WGLC Plate A,D3,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/6/21,Canada,British Columbia,Peace River,56.1223707,-120.05934,Breeding,,,
24N02363,235068347,BANS WGLC Plate A,D4,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/6/21,Canada,British Columbia,Peace River,56.1223707,-120.05934,Breeding,,,
24N02364,235068348,BANS WGLC Plate A,D5,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/6/21,Canada,British Columbia,Peace River,56.1223707,-120.05934,Breeding,,,
24N02365,235068349,BANS WGLC Plate A,D6,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/6/21,Canada,British Columbia,Peace River,56.1223707,-120.05934,Breeding,,,
24N02366,235068351,BANS WGLC Plate A,D7,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/6/21,Canada,British Columbia,Peace River,56.1223707,-120.05934,Breeding,,,
24N02367,235068352,BANS WGLC Plate A,D8,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/6/21,Canada,British Columbia,Peace River,56.1223707,-120.05934,Breeding,,,
24N02368,235068364,BANS WGLC Plate A,D9,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/6/21,Canada,British Columbia,Peace River,56.1223707,-120.05934,Breeding,,,
24N02369,235068365,BANS WGLC Plate A,D10,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/6/21,Canada,British Columbia,Peace River,56.1223707,-120.05934,Breeding,,,
24N02370,235068370,BANS WGLC Plate A,D11,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/6/21,Canada,British Columbia,Peace River,56.1223707,-120.05934,Breeding,,,
24N02371,235068375,BANS WGLC Plate A,D12,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/6/21,Canada,British Columbia,Peace River,56.1223707,-120.05934,Breeding,,,
24N02397,235068472,BANS WGLC Plate A,E1,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/5/22,Canada,Yukon,Whitehorse,60.63708,-134.850618,Breeding,,,
24N02398,235068473,BANS WGLC Plate A,E2,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/5/22,Canada,Yukon,Whitehorse,60.63708,-134.850618,Breeding,,,
24N02399,235068474,BANS WGLC Plate A,E3,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/5/22,Canada,Yukon,Whitehorse,60.63708,-134.850618,Breeding,,,
24N02400,235068475,BANS WGLC Plate A,E4,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/5/22,Canada,Yukon,Whitehorse,60.63708,-134.850618,Breeding,,,
24N02401,235068482,BANS WGLC Plate A,E5,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/5/22,Canada,Yukon,Whitehorse,60.63708,-134.850618,Breeding,,,
24N02402,235068483,BANS WGLC Plate A,E6,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/5/22,Canada,Yukon,Whitehorse,60.63708,-134.850618,Breeding,,,
24N02403,235068485,BANS WGLC Plate A,E7,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/5/22,Canada,Yukon,Whitehorse,60.63708,-134.850618,Breeding,,,
24N02404,235068486,BANS WGLC Plate A,E8,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/5/22,Canada,Yukon,Whitehorse,60.63708,-134.850618,Breeding,,,
24N02405,235068491,BANS WGLC Plate A,E9,NOT INCLUDED,"Gregory Mitchell, Ana Diazbohorquez",7/5/22,Canada,Yukon,Whitehorse,60.63708,-134.850618,Breeding,,,
24N02406,235068494,BANS WGLC Plate A,E10,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/5/22,Canada,Yukon,Whitehorse,60.63708,-134.850618,Breeding,,,
24N02407,235068495,BANS WGLC Plate A,E11,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/5/22,Canada,Yukon,Whitehorse,60.63708,-134.850618,Breeding,,,
24N02408,235068543,BANS WGLC Plate A,E12,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/6/22,Canada,Yukon,Whitehorse,60.63708,-134.850618,Breeding,,,
24N02440,256001848,BANS WGLC Plate A,F1,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",6/20/23,Canada,Prince Edward Island,Wood Islands,45.962235,-62.751505,Breeding,,,
24N02441,256001849,BANS WGLC Plate A,F2,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",6/20/23,Canada,Prince Edward Island,Wood Islands,45.962235,-62.751505,Breeding,,,
24N02442,256001850,BANS WGLC Plate A,F3,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",6/20/23,Canada,Prince Edward Island,Wood Islands,45.962235,-62.751505,Breeding,,,
24N02443,256001851,BANS WGLC Plate A,F4,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",6/27/23,Canada,Prince Edward Island,Wood Islands,45.962235,-62.751505,Breeding,,,
24N02444,256001852,BANS WGLC Plate A,F5,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",6/27/23,Canada,Prince Edward Island,Wood Islands,45.962235,-62.751505,Breeding,,,
24N02445,256001853,BANS WGLC Plate A,F6,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",6/27/23,Canada,Prince Edward Island,Wood Islands,45.962235,-62.751505,Breeding,,,
24N02446,256001854,BANS WGLC Plate A,F7,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",6/27/23,Canada,Prince Edward Island,Wood Islands,45.962235,-62.751505,Breeding,,,
24N02447,256001855,BANS WGLC Plate A,F8,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",6/27/23,Canada,Prince Edward Island,Wood Islands,45.962235,-62.751505,Breeding,,,
24N02448,256001856,BANS WGLC Plate A,F9,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",6/27/23,Canada,Prince Edward Island,Wood Islands,45.962235,-62.751505,Breeding,,,
24N02449,256001857,BANS WGLC Plate A,F10,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",6/27/23,Canada,Prince Edward Island,Wood Islands,45.962235,-62.751505,Breeding,,,
24N02450,256001858,BANS WGLC Plate A,F11,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",6/27/23,Canada,Prince Edward Island,Wood Islands,45.962235,-62.751505,Breeding,,,
24N02451,256001859,BANS WGLC Plate A,F12,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",6/27/23,Canada,Prince Edward Island,Wood Islands,45.962235,-62.751505,Breeding,,,
24N02480,269045745,BANS WGLC Plate A,G1,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/6/22,Canada,Manitoba,Fort Ellice,50.365898,-101.35284,Breeding,,,
24N02481,269045746,BANS WGLC Plate A,G2,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/6/22,Canada,Manitoba,Fort Ellice,50.365898,-101.35284,Breeding,,,
24N02482,269045747,BANS WGLC Plate A,G3,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/7/22,Canada,Manitoba,Fort Ellice,50.365898,-101.35284,Breeding,,,
24N02483,269045748,BANS WGLC Plate A,G4,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/7/22,Canada,Manitoba,Fort Ellice,50.365898,-101.35284,Breeding,,,
24N02484,269045749,BANS WGLC Plate A,G5,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/7/22,Canada,Manitoba,Fort Ellice,50.365898,-101.35284,Breeding,,,
24N02485,269045750,BANS WGLC Plate A,G6,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/7/22,Canada,Manitoba,Fort Ellice,50.365898,-101.35284,Breeding,,,
24N02486,269045751,BANS WGLC Plate A,G7,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/7/22,Canada,Manitoba,Fort Ellice,50.365898,-101.35284,Breeding,,,
24N02487,269045752,BANS WGLC Plate A,G8,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/7/22,Canada,Manitoba,Fort Ellice,50.365898,-101.35284,Breeding,,,
24N02488,269045753,BANS WGLC Plate A,G9,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/6/22,Canada,Manitoba,Fort Ellice,50.365898,-101.35284,Breeding,,,
24N02497,269045836,BANS WGLC Plate A,G10,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/5/23,Canada,Alberta,Edmonton,53.687047,-113.57037,Breeding,,,
24N02498,269045837,BANS WGLC Plate A,G11,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/5/23,Canada,Alberta,Edmonton,53.687047,-113.57037,Breeding,,,
24N02499,269045838,BANS WGLC Plate A,G12,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/5/23,Canada,Alberta,Edmonton,53.687047,-113.57037,Breeding,,,
24N02500,269045839,BANS WGLC Plate B,A1,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/5/23,Canada,Alberta,Edmonton,53.687047,-113.57037,Breeding,,,
24N02501,269045840,BANS WGLC Plate B,A2,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/5/23,Canada,Alberta,Edmonton,53.687047,-113.57037,Breeding,,,
24N02502,269045841,BANS WGLC Plate B,A3,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/5/23,Canada,Alberta,Edmonton,53.687047,-113.57037,Breeding,,,
24N02503,269045842,BANS WGLC Plate B,A4,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/5/23,Canada,Alberta,Edmonton,53.687047,-113.57037,Breeding,,,
24N02504,269045843,BANS WGLC Plate B,A5,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/5/23,Canada,Alberta,Edmonton,53.687047,-113.57037,Breeding,,,
24N02505,269045844,BANS WGLC Plate B,A6,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/5/23,Canada,Alberta,Edmonton,53.687047,-113.57037,Breeding,,,
24N02506,269045845,BANS WGLC Plate B,A7,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/5/23,Canada,Alberta,Edmonton,53.687047,-113.57037,Breeding,,,
24N02507,269045846,BANS WGLC Plate B,A8,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/5/23,Canada,Alberta,Edmonton,53.687047,-113.57037,Breeding,,,
24N02508,269045847,BANS WGLC Plate B,A9,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/5/23,Canada,Alberta,Edmonton,53.687047,-113.57037,Breeding,,,
24N02517,281069201,BANS WGLC Plate B,A10,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/7/23,Canada,New Brunswick,Sackville,45.8972,-64.3393,Breeding,,,
24N02518,281069202,BANS WGLC Plate B,A11,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/7/23,Canada,New Brunswick,Sackville,45.8972,-64.3393,Breeding,,,
24N02519,281069203,BANS WGLC Plate B,A12,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/7/23,Canada,New Brunswick,Sackville,45.8972,-64.3393,Breeding,,,
24N02520,281069204,BANS WGLC Plate B,B1,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/7/23,Canada,New Brunswick,Sackville,45.8972,-64.3393,Breeding,,,
24N02521,281069205,BANS WGLC Plate B,B2,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/8/23,Canada,New Brunswick,Sackville,45.9052,-64.3382,Breeding,,,
24N02522,281069206,BANS WGLC Plate B,B3,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/8/23,Canada,New Brunswick,Sackville,45.9052,-64.3382,Breeding,,,
24N02523,281069207,BANS WGLC Plate B,B4,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/8/23,Canada,New Brunswick,Sackville,45.9052,-64.3382,Breeding,,,
24N02524,281069208,BANS WGLC Plate B,B5,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/8/23,Canada,New Brunswick,Sackville,45.9052,-64.3382,Breeding,,,
24N02525,281069209,BANS WGLC Plate B,B6,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/8/23,Canada,New Brunswick,Sackville,45.9052,-64.3382,Breeding,,,
24N02526,281069210,BANS WGLC Plate B,B7,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/8/23,Canada,New Brunswick,Sackville,45.9052,-64.3382,Breeding,,,
24N02527,281069211,BANS WGLC Plate B,B8,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/8/23,Canada,New Brunswick,Sackville,45.9052,-64.3382,Breeding,,,
24N02528,281069212,BANS WGLC Plate B,B9,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/8/23,Canada,New Brunswick,Sackville,45.9052,-64.3382,Breeding,,,
24N02531,282088801,BANS WGLC Plate B,B10,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",6/29/22,Canada,Nova Scotia,Meteghan,44.19388,-66.15649,Breeding,,,
24N02532,282088802,BANS WGLC Plate B,B11,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",6/29/22,Canada,Nova Scotia,Meteghan,44.19388,-66.15649,Breeding,,,
24N02533,282088804,BANS WGLC Plate B,B12,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",6/29/22,Canada,Nova Scotia,Meteghan,44.19388,-66.15649,Breeding,,,
24N02534,282088805,BANS WGLC Plate B,C1,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",6/29/22,Canada,Nova Scotia,Meteghan,44.19388,-66.15649,Breeding,,,
24N02535,282088806,BANS WGLC Plate B,C2,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",6/29/22,Canada,Nova Scotia,Meteghan,44.19388,-66.15649,Breeding,,,
24N02536,282088807,BANS WGLC Plate B,C3,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",6/29/22,Canada,Nova Scotia,Meteghan,44.19388,-66.15649,Breeding,,,
